book,chapter,rouge1_precision_sshleifer/distilbart-cnn-12-6,rouge1_recall_sshleifer/distilbart-cnn-12-6,rouge1_fmeasure_sshleifer/distilbart-cnn-12-6,rouge2_precision_sshleifer/distilbart-cnn-12-6,rouge2_recall_sshleifer/distilbart-cnn-12-6,rouge2_fmeasure_sshleifer/distilbart-cnn-12-6,rougeL_precision_sshleifer/distilbart-cnn-12-6,rougeL_recall_sshleifer/distilbart-cnn-12-6,rougeL_fmeasure_sshleifer/distilbart-cnn-12-6,rouge1_precision_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge1_recall_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge1_fmeasure_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge2_precision_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge2_recall_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rouge2_fmeasure_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rougeL_precision_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rougeL_recall_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train,rougeL_fmeasure_/content/drive/My Drive/MAGMA: Summarization/fine-tuning/sshleifer?distilbart-cnn-12-6_karger_books_para_train
9781910797617,chp1,0.0625,0.2,0.09523809523809523,0.0,0.0,0.0,0.0625,0.2,0.09523809523809523,0.06451612903225806,0.13333333333333333,0.08695652173913043,0.0,0.0,0.0,0.06451612903225806,0.13333333333333333,0.08695652173913043
9781910797617,chp1,0.21621621621621623,0.38095238095238093,0.27586206896551724,0.05555555555555555,0.1,0.07142857142857142,0.13513513513513514,0.23809523809523808,0.1724137931034483,0.19402985074626866,0.6190476190476191,0.29545454545454547,0.10606060606060606,0.35,0.1627906976744186,0.14925373134328357,0.47619047619047616,0.22727272727272727
9781908541963,chapter3,0.09090909090909091,0.23076923076923078,0.13043478260869568,0.0,0.0,0.0,0.09090909090909091,0.23076923076923078,0.13043478260869568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9781908541963,chapter3,0.02702702702702703,0.09090909090909091,0.04166666666666667,0.0,0.0,0.0,0.02702702702702703,0.09090909090909091,0.04166666666666667,0.08695652173913043,0.18181818181818182,0.1176470588235294,0.0,0.0,0.0,0.08695652173913043,0.18181818181818182,0.1176470588235294
9781908541963,chapter3,0.25925925925925924,0.5,0.3414634146341463,0.07692307692307693,0.15384615384615385,0.10256410256410257,0.14814814814814814,0.2857142857142857,0.1951219512195122,0.08695652173913043,0.14285714285714285,0.1081081081081081,0.0,0.0,0.0,0.08695652173913043,0.14285714285714285,0.1081081081081081
9781908541963,chapter3,0.2692307692307692,0.5384615384615384,0.3589743589743589,0.08,0.16666666666666666,0.10810810810810811,0.23076923076923078,0.46153846153846156,0.30769230769230776,0.5,0.46153846153846156,0.48000000000000004,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.4166666666666667,0.38461538461538464,0.4
9781908541963,chapter3,0.07692307692307693,0.2727272727272727,0.12000000000000001,0.02631578947368421,0.1,0.041666666666666664,0.07692307692307693,0.2727272727272727,0.12000000000000001,0.0625,0.09090909090909091,0.07407407407407407,0.0,0.0,0.0,0.0625,0.09090909090909091,0.07407407407407407
9781908541796,chapter1,0.21951219512195122,0.3103448275862069,0.2571428571428571,0.05,0.07142857142857142,0.058823529411764705,0.14634146341463414,0.20689655172413793,0.1714285714285714,0.25,0.3448275862068966,0.2898550724637681,0.05128205128205128,0.07142857142857142,0.05970149253731343,0.175,0.2413793103448276,0.2028985507246377
9781908541796,chapter1,0.12195121951219512,0.16666666666666666,0.14084507042253522,0.025,0.034482758620689655,0.028985507246376812,0.0975609756097561,0.13333333333333333,0.11267605633802817,0.125,0.16666666666666666,0.14285714285714288,0.02564102564102564,0.034482758620689655,0.029411764705882353,0.1,0.13333333333333333,0.1142857142857143
9781908541796,chapter1,0.2553191489361702,0.631578947368421,0.3636363636363636,0.10869565217391304,0.2777777777777778,0.15625,0.23404255319148937,0.5789473684210527,0.3333333333333333,0.1,0.10526315789473684,0.10256410256410256,0.0,0.0,0.0,0.1,0.10526315789473684,0.10256410256410256
9781908541796,chapter1,0.2,0.6153846153846154,0.30188679245283023,0.05128205128205128,0.16666666666666666,0.07843137254901959,0.1,0.3076923076923077,0.15094339622641512,0.20689655172413793,0.46153846153846156,0.28571428571428575,0.0,0.0,0.0,0.06896551724137931,0.15384615384615385,0.09523809523809525
9781908541796,chapter1,0.3793103448275862,0.3333333333333333,0.3548387096774193,0.17857142857142858,0.15625,0.16666666666666666,0.27586206896551724,0.24242424242424243,0.2580645161290323,0.42105263157894735,0.24242424242424243,0.3076923076923077,0.2777777777777778,0.15625,0.19999999999999998,0.42105263157894735,0.24242424242424243,0.3076923076923077
