book,chapter,rouge1_precision_sshleifer/distilbart-cnn-12-6,rouge1_recall_sshleifer/distilbart-cnn-12-6,rouge1_fmeasure_sshleifer/distilbart-cnn-12-6,rouge2_precision_sshleifer/distilbart-cnn-12-6,rouge2_recall_sshleifer/distilbart-cnn-12-6,rouge2_fmeasure_sshleifer/distilbart-cnn-12-6,rougeL_precision_sshleifer/distilbart-cnn-12-6,rougeL_recall_sshleifer/distilbart-cnn-12-6,rougeL_fmeasure_sshleifer/distilbart-cnn-12-6
9781910797105,ch04,0.08571428571428572,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.08571428571428572,0.42857142857142855,0.14285714285714285
9781910797105,ch04,0.1875,0.3157894736842105,0.23529411764705882,0.0,0.0,0.0,0.125,0.21052631578947367,0.1568627450980392
9781910797105,ch04,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.02,0.0625,0.030303030303030304,0.09803921568627451,0.29411764705882354,0.14705882352941177
9781910797105,ch04,0.09803921568627451,0.3333333333333333,0.1515151515151515,0.04,0.14285714285714285,0.0625,0.09803921568627451,0.3333333333333333,0.1515151515151515
9781910797006,ch03,0.11864406779661017,0.175,0.1414141414141414,0.0,0.0,0.0,0.06779661016949153,0.1,0.0808080808080808
9781910797006,ch03,0.25,0.7,0.3684210526315789,0.14814814814814814,0.4444444444444444,0.2222222222222222,0.25,0.7,0.3684210526315789
9781910797006,ch03,0.21052631578947367,0.24242424242424243,0.22535211267605634,0.0,0.0,0.0,0.10526315789473684,0.12121212121212122,0.11267605633802817
9781910797006,ch03,0.13953488372093023,0.3333333333333333,0.19672131147540986,0.0,0.0,0.0,0.09302325581395349,0.2222222222222222,0.13114754098360654
9781910797006,ch03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9781910797006,ch03,0.08163265306122448,0.3333333333333333,0.13114754098360654,0.041666666666666664,0.18181818181818182,0.06779661016949153,0.08163265306122448,0.3333333333333333,0.13114754098360654
9781910797006,ch03,0.26666666666666666,0.7619047619047619,0.3950617283950617,0.0847457627118644,0.25,0.12658227848101267,0.16666666666666666,0.47619047619047616,0.2469135802469136
9781910797006,ch03,0.358974358974359,0.5,0.417910447761194,0.2631578947368421,0.37037037037037035,0.30769230769230765,0.3076923076923077,0.42857142857142855,0.3582089552238806
9781908541406,ch_6,0.10204081632653061,0.20833333333333334,0.136986301369863,0.0,0.0,0.0,0.08163265306122448,0.16666666666666666,0.10958904109589039
9781908541406,ch_6,0.1111111111111111,0.22727272727272727,0.14925373134328357,0.0,0.0,0.0,0.08888888888888889,0.18181818181818182,0.11940298507462685
9781908541406,ch_6,0.21875,0.3333333333333333,0.2641509433962264,0.03225806451612903,0.05,0.0392156862745098,0.15625,0.23809523809523808,0.18867924528301888
9781908541406,ch_6,0.14285714285714285,0.29411764705882354,0.1923076923076923,0.058823529411764705,0.125,0.07999999999999999,0.08571428571428572,0.17647058823529413,0.11538461538461539
9781908541406,ch_6,0.2391304347826087,0.39285714285714285,0.2972972972972973,0.1111111111111111,0.18518518518518517,0.13888888888888887,0.1956521739130435,0.32142857142857145,0.24324324324324326
9781908541277,ch_6,0.09375,0.6,0.16216216216216214,0.03225806451612903,0.25,0.05714285714285715,0.09375,0.6,0.16216216216216214
9781908541277,ch_6,0.2727272727272727,1.0,0.42857142857142855,0.25,1.0,0.4,0.2727272727272727,1.0,0.42857142857142855
9781908541277,ch_6,0.2619047619047619,0.7333333333333333,0.38596491228070173,0.12195121951219512,0.35714285714285715,0.18181818181818182,0.16666666666666666,0.4666666666666667,0.2456140350877193
9781908541277,ch_6,0.10344827586206896,0.23076923076923078,0.14285714285714288,0.0,0.0,0.0,0.06896551724137931,0.15384615384615385,0.09523809523809525
9781908541277,ch_6,0.17647058823529413,0.3,0.22222222222222224,0.0,0.0,0.0,0.11764705882352941,0.2,0.14814814814814817
9781908541277,ch_6,0.17647058823529413,0.42857142857142855,0.25,0.030303030303030304,0.07692307692307693,0.043478260869565216,0.11764705882352941,0.2857142857142857,0.16666666666666666
